Statistic Label,Year,Household Disposable Income Quintiles,Expenditure,UNIT,VALUE
Average weekly household expenditure,2023,4th quintile,"Pasta, pizza, quiche and grains (01.01.08)",Euro,3.66
Average weekly household expenditure,2023,4th quintile,Total meat (01.01.09),Euro,31.22
Average weekly household expenditure,2023,4th quintile,Uncooked meat (01.01.09.01),Euro,21.01
Average weekly household expenditure,2023,4th quintile,Cooked meat and convenience meat products (01.01.09.02),Euro,10.22
Average weekly household expenditure,2023,4th quintile,Fish and fish products (01.01.10),Euro,3.5
Average weekly household expenditure,2023,4th quintile,Fruit and nuts (01.01.11),Euro,10.96
Average weekly household expenditure,2023,4th quintile,Fresh fruit (01.01.11.01),Euro,9.1
Average weekly household expenditure,2023,4th quintile,Other fruit and nuts (01.01.11.02),Euro,1.86
Average weekly household expenditure,2023,4th quintile,Vegetables (01.01.12),Euro,14.15
Average weekly household expenditure,2023,4th quintile,Fresh vegetables (01.01.12.01),Euro,8.91
Average weekly household expenditure,2023,4th quintile,Other vegetables and vegetable products (01.01.12.02),Euro,5.23
Average weekly household expenditure,2023,4th quintile,"Sugars, confectionary and snacks (01.01.13)",Euro,17.17
Average weekly household expenditure,2023,4th quintile,Other food items (01.01.14),Euro,11.06
Average weekly household expenditure,2023,4th quintile,Non-alcoholic beverages (01.01.15),Euro,12.64
Average weekly household expenditure,2023,4th quintile,"Tea, coffee and cocoa (01.01.15.01)",Euro,3.17
Average weekly household expenditure,2023,4th quintile,Water - still/sparkling/flavoured (01.01.15.02),Euro,1.89
Average weekly household expenditure,2023,4th quintile,"Soft drinks, including juices (01.01.15.03)",Euro,7.58
Average weekly household expenditure,2023,4th quintile,Takeaway food brought/delivered to home (01.01.16),Euro,15.77
Average weekly household expenditure,2023,4th quintile,Meals away from home (including takeout tea/coffee) (01.02),Euro,40.94
Average weekly household expenditure,2023,4th quintile,Total alcohol and tobacco (02),Euro,33.12
Average weekly household expenditure,2023,4th quintile,Alcohol (02.01),Euro,26.36
Average weekly household expenditure,2023,4th quintile,Tobacco (02.02),Euro,6.77
Average weekly household expenditure,2023,4th quintile,Total clothing and footwear (03),Euro,51.36
Average weekly household expenditure,2023,4th quintile,Total fuel and light (04),Euro,67.88
Average weekly household expenditure,2023,4th quintile,Electricity (04.01),Euro,36.97
Average weekly household expenditure,2023,4th quintile,Gas (04.02),Euro,13.28
Average weekly household expenditure,2023,4th quintile,Liquid Fuels (e.g. heating oil) (04.03),Euro,11.82
Average weekly household expenditure,2023,4th quintile,Solid Fuels (04.04),Euro,5.81
Average weekly household expenditure,2023,4th quintile,Total housing (05),Euro,232.94
Average weekly household expenditure,2023,4th quintile,Rent paid for primary dwelling (05.01),Euro,50.29
Average weekly household expenditure,2023,4th quintile,Mortgage payment (primary dwelling) (05.02),Euro,83.1
Average weekly household expenditure,2023,4th quintile,Primary dwelling insurance (05.03),Euro,7.62
Average weekly household expenditure,2023,4th quintile,Local property tax (05.04),Euro,5.08
Average weekly household expenditure,2023,4th quintile,Refuse/sewage collection and skip hire (05.05),Euro,5.87
Average weekly household expenditure,2023,4th quintile,"Services for maintenance and repair of the dwelling (e.g. electrician, painter) (05.06)",Euro,8.73
Average weekly household expenditure,2023,4th quintile,Capital improvements (05.07),Euro,56.54
Average weekly household expenditure,2023,4th quintile,Other housing costs (05.08),Euro,15.69
Average weekly household expenditure,2023,4th quintile,Total household non-durable goods (06),Euro,26.43
Average weekly household expenditure,2023,4th quintile,Household cleaning products and non-durable small household articles (06.01),Euro,8.46
Average weekly household expenditure,2023,4th quintile,Toiletries and related produtcs (06.02),Euro,7.6
Average weekly household expenditure,2023,4th quintile,Hair and cosmetic products (06.03),Euro,10.37
Average weekly household expenditure,2023,4th quintile,Total household durable goods (07),Euro,42.32
Average weekly household expenditure,2023,4th quintile,"Household furniture, including repairs (07.01)",Euro,9.01
Average weekly household expenditure,2023,4th quintile,Household textiles (07.02),Euro,2.47
Average weekly household expenditure,2023,4th quintile,"Major household appliances (e.g. fridges, washing machine, cookers) (07.03)",Euro,3.97
Average weekly household expenditure,2023,4th quintile,Other household appliances (07.04),Euro,1.78
Average weekly household expenditure,2023,4th quintile,"Delph, cutlery and kitchen utensils (07.05)",Euro,3.82
Average weekly household expenditure,2023,4th quintile,Garden furniture and accessories (07.06),Euro,2.22
Average weekly household expenditure,2023,4th quintile,"Computers (including laptops, tablets, game consoles) and accessories (07.07)",Euro,5.87
Average weekly household expenditure,2023,4th quintile,Televisions and other media players (07.08),Euro,1.66
Average weekly household expenditure,2023,4th quintile,Fancy and decorative goods (e.g. mirrors) (07.09),Euro,5.5
Average weekly household expenditure,2023,4th quintile,Other household durable items (07.10),Euro,6.01
Average weekly household expenditure,2023,4th quintile,Total transport (08),Euro,175.87
Average weekly household expenditure,2023,4th quintile,Vehicles (net of trade in) (08.01),Euro,51.45
Average weekly household expenditure,2023,4th quintile,Motor Fuel (08.02),Euro,49.85
Average weekly household expenditure,2023,4th quintile,"Insurance, tax and fines (08.03)",Euro,37.09
Average weekly household expenditure,2023,4th quintile,Vehicle maintenance and other costs (08.04),Euro,15.64
Average weekly household expenditure,2023,4th quintile,"Bus, Luas, rail and taxi (08.05)",Euro,5.28
Average weekly household expenditure,2023,4th quintile,Other transport expenditure (08.06),Euro,16.56
Average weekly household expenditure,2023,4th quintile,"Total miscellaneous goods, services and other expenditure (09)",Euro,417.15
Average weekly household expenditure,2023,4th quintile,Medical expenses/services and therapeutic equipment (09.01),Euro,34.08
Average weekly household expenditure,2023,4th quintile,"Telephone, mobile and car phone (09.02)",Euro,20.31
Average weekly household expenditure,2023,4th quintile,"Internet, telephone and television subscriptions (09.03)",Euro,27.64
Average weekly household expenditure,2023,4th quintile,Internet subscription fees (not bundled) (09.03.01),Euro,4.7
Average weekly household expenditure,2023,4th quintile,TV licences (09.03.02),Euro,2.46
Average weekly household expenditure,2023,4th quintile,Satellite and cable TV subscription (09.03.03),Euro,3.1
Average weekly household expenditure,2023,4th quintile,Bundled subscription fees (09.03.04),Euro,12.32
Average weekly household expenditure,2023,4th quintile,"Downloads, streaming, apps and other internet services n.e.c (09.03.05)",Euro,5.05
Average weekly household expenditure,2023,4th quintile,Admission and subscription charges - sports and leisure (09.04),Euro,33.43
Average weekly household expenditure,2023,4th quintile,Betting and lotteries (09.05),Euro,4.23
Average weekly household expenditure,2023,4th quintile,Reading materials (09.06),Euro,9.05
Average weekly household expenditure,2023,4th quintile,Education and training (09.07),Euro,15.28
Average weekly household expenditure,2023,4th quintile,Games and items for sports and open-air recreation (09.08),Euro,5.41
Average weekly household expenditure,2023,4th quintile,Holiday expenditure (09.09),Euro,71.02
Average weekly household expenditure,2023,4th quintile,Insurance/pension premiums (09.10),Euro,111.14
Average weekly household expenditure,2023,4th quintile,Medical/dental insurance (09.10.01),Euro,36.26
Average weekly household expenditure,2023,4th quintile,Other insurance premiums (09.10.02),Euro,15.82
Average weekly household expenditure,2023,4th quintile,Pension contributions (09.10.03),Euro,59.05
Average weekly household expenditure,2023,4th quintile,Pet costs (09.11),Euro,8.66
Average weekly household expenditure,2023,4th quintile,Legal/Professional/Banking fees (09.12),Euro,8.75
Average weekly household expenditure,2023,4th quintile,"Plants, flowers, seeds, fertilisers and insecticides (09.13)",Euro,4.51
Average weekly household expenditure,2023,4th quintile,Hairdressing and personal grooming (09.14),Euro,11.65
Average weekly household expenditure,2023,4th quintile,Personal goods (09.15),Euro,7.6
Average weekly household expenditure,2023,4th quintile,Baby equipment (09.16),Euro,0.27
Average weekly household expenditure,2023,4th quintile,Childcare (09.17),Euro,13.9
Average weekly household expenditure,2023,4th quintile,"Other care, domestic and household services (09.18)",Euro,4.58
Average weekly household expenditure,2023,4th quintile,Charitable donations and subscriptions (09.19),Euro,3.4
Average weekly household expenditure,2023,4th quintile,Other money given to other persons (09.20),Euro,16.47
Average weekly household expenditure,2023,4th quintile,Other Miscellaneous (09.21),Euro,5.77
Average weekly household expenditure,2023,5th quintile,Total average weekly household expenditure (00.00.00.00),Euro,1757.16
Average weekly household expenditure,2023,5th quintile,Total food (01),Euro,236.8
Average weekly household expenditure,2023,5th quintile,Total food consumed at home (01.01),Euro,181.87
Average weekly household expenditure,2023,5th quintile,Bread (including retail sandwiches) (01.01.01),Euro,8.61
Average weekly household expenditure,2023,5th quintile,Flour (01.01.02),Euro,0.29
Average weekly household expenditure,2023,5th quintile,Pastries and biscuits (01.01.03),Euro,12.28
Average weekly household expenditure,2023,5th quintile,Breakfast cereals (01.01.04),Euro,2.68
Average weekly household expenditure,2023,5th quintile,"Milk, cream yoghurts and cheese (01.01.05)",Euro,15.82
Average weekly household expenditure,2023,5th quintile,"Butter, fats and cooking oil (01.01.06)",Euro,3.48
Average weekly household expenditure,2023,5th quintile,Eggs (01.01.07),Euro,2.31
Average weekly household expenditure,2023,5th quintile,"Pasta, pizza, quiche and grains (01.01.08)",Euro,4.63
Average weekly household expenditure,2023,5th quintile,Total meat (01.01.09),Euro,35.08
Average weekly household expenditure,2023,5th quintile,Uncooked meat (01.01.09.01),Euro,23.07
Average weekly household expenditure,2023,5th quintile,Cooked meat and convenience meat products (01.01.09.02),Euro,12.02
Average weekly household expenditure,2023,5th quintile,Fish and fish products (01.01.10),Euro,5.27
Average weekly household expenditure,2023,5th quintile,Fruit and nuts (01.01.11),Euro,12.68
Average weekly household expenditure,2023,5th quintile,Fresh fruit (01.01.11.01),Euro,10.5
Average weekly household expenditure,2023,5th quintile,Other fruit and nuts (01.01.11.02),Euro,2.19
Average weekly household expenditure,2023,5th quintile,Vegetables (01.01.12),Euro,16.52
Average weekly household expenditure,2023,5th quintile,Fresh vegetables (01.01.12.01),Euro,10.85
Average weekly household expenditure,2023,5th quintile,Other vegetables and vegetable products (01.01.12.02),Euro,5.67
Average weekly household expenditure,2023,5th quintile,"Sugars, confectionary and snacks (01.01.13)",Euro,17.79
Average weekly household expenditure,2023,5th quintile,Other food items (01.01.14),Euro,11.79
Average weekly household expenditure,2023,5th quintile,Non-alcoholic beverages (01.01.15),Euro,13.57
Average weekly household expenditure,2023,5th quintile,"Tea, coffee and cocoa (01.01.15.01)",Euro,3.6
Average weekly household expenditure,2023,5th quintile,Water - still/sparkling/flavoured (01.01.15.02),Euro,2.31
Average weekly household expenditure,2023,5th quintile,"Soft drinks, including juices (01.01.15.03)",Euro,7.67
Average weekly household expenditure,2023,5th quintile,Takeaway food brought/delivered to home (01.01.16),Euro,19.06
Average weekly household expenditure,2023,5th quintile,Meals away from home (including takeout tea/coffee) (01.02),Euro,54.93
Average weekly household expenditure,2023,5th quintile,Total alcohol and tobacco (02),Euro,38.48
Average weekly household expenditure,2023,5th quintile,Alcohol (02.01),Euro,32.1
Average weekly household expenditure,2023,5th quintile,Tobacco (02.02),Euro,6.38
Average weekly household expenditure,2023,5th quintile,Total clothing and footwear (03),Euro,66.53
Average weekly household expenditure,2023,5th quintile,Total fuel and light (04),Euro,78
Average weekly household expenditure,2023,5th quintile,Electricity (04.01),Euro,40.07
Average weekly household expenditure,2023,5th quintile,Gas (04.02),Euro,17.38
Average weekly household expenditure,2023,5th quintile,Liquid Fuels (e.g. heating oil) (04.03),Euro,11.58
Average weekly household expenditure,2023,5th quintile,Solid Fuels (04.04),Euro,8.97
Average weekly household expenditure,2023,5th quintile,Total housing (05),Euro,308.67
Average weekly household expenditure,2023,5th quintile,Rent paid for primary dwelling (05.01),Euro,37.11
Average weekly household expenditure,2023,5th quintile,Mortgage payment (primary dwelling) (05.02),Euro,145.88
Average weekly household expenditure,2023,5th quintile,Primary dwelling insurance (05.03),Euro,9.12
Average weekly household expenditure,2023,5th quintile,Local property tax (05.04),Euro,9.06
Average weekly household expenditure,2023,5th quintile,Refuse/sewage collection and skip hire (05.05),Euro,4.98
Average weekly household expenditure,2023,5th quintile,"Services for maintenance and repair of the dwelling (e.g. electrician, painter) (05.06)",Euro,15.33
Average weekly household expenditure,2023,5th quintile,Capital improvements (05.07),Euro,60.86
Average weekly household expenditure,2023,5th quintile,Other housing costs (05.08),Euro,26.32
Average weekly household expenditure,2023,5th quintile,Total household non-durable goods (06),Euro,29.9
Average weekly household expenditure,2023,5th quintile,Household cleaning products and non-durable small household articles (06.01),Euro,8.59
Average weekly household expenditure,2023,5th quintile,Toiletries and related produtcs (06.02),Euro,8.56
Average weekly household expenditure,2023,5th quintile,Hair and cosmetic products (06.03),Euro,12.75
Average weekly household expenditure,2023,5th quintile,Total household durable goods (07),Euro,55.68
Average weekly household expenditure,2023,5th quintile,"Household furniture, including repairs (07.01)",Euro,18.58
Average weekly household expenditure,2023,5th quintile,Household textiles (07.02),Euro,2.94
Average weekly household expenditure,2023,5th quintile,"Major household appliances (e.g. fridges, washing machine, cookers) (07.03)",Euro,4.87
Average weekly household expenditure,2023,5th quintile,Other household appliances (07.04),Euro,1.85
Average weekly household expenditure,2023,5th quintile,"Delph, cutlery and kitchen utensils (07.05)",Euro,5.41
Average weekly household expenditure,2023,5th quintile,Garden furniture and accessories (07.06),Euro,4.38
Average weekly household expenditure,2023,5th quintile,"Computers (including laptops, tablets, game consoles) and accessories (07.07)",Euro,4.67
Average weekly household expenditure,2023,5th quintile,Televisions and other media players (07.08),Euro,1.1
Average weekly household expenditure,2023,5th quintile,Fancy and decorative goods (e.g. mirrors) (07.09),Euro,4.69
Average weekly household expenditure,2023,5th quintile,Other household durable items (07.10),Euro,7.19
Average weekly household expenditure,2023,5th quintile,Total transport (08),Euro,243
Average weekly household expenditure,2023,5th quintile,Vehicles (net of trade in) (08.01),Euro,82.46
Average weekly household expenditure,2023,5th quintile,Motor Fuel (08.02),Euro,59.55
Average weekly household expenditure,2023,5th quintile,"Insurance, tax and fines (08.03)",Euro,42.74
Average weekly household expenditure,2023,5th quintile,Vehicle maintenance and other costs (08.04),Euro,21.32
Average weekly household expenditure,2023,5th quintile,"Bus, Luas, rail and taxi (08.05)",Euro,7.71
Average weekly household expenditure,2023,5th quintile,Other transport expenditure (08.06),Euro,29.23
Average weekly household expenditure,2023,5th quintile,"Total miscellaneous goods, services and other expenditure (09)",Euro,700.09
Average weekly household expenditure,2023,5th quintile,Medical expenses/services and therapeutic equipment (09.01),Euro,52.81
Average weekly household expenditure,2023,5th quintile,"Telephone, mobile and car phone (09.02)",Euro,24.1
Average weekly household expenditure,2023,5th quintile,"Internet, telephone and television subscriptions (09.03)",Euro,31.8
Average weekly household expenditure,2023,5th quintile,Internet subscription fees (not bundled) (09.03.01),Euro,4.03
Average weekly household expenditure,2023,5th quintile,TV licences (09.03.02),Euro,2.93
Average weekly household expenditure,2023,5th quintile,Satellite and cable TV subscription (09.03.03),Euro,4.21
Average weekly household expenditure,2023,5th quintile,Bundled subscription fees (09.03.04),Euro,14.06
Average weekly household expenditure,2023,5th quintile,"Downloads, streaming, apps and other internet services n.e.c (09.03.05)",Euro,6.57
Average weekly household expenditure,2023,5th quintile,Admission and subscription charges - sports and leisure (09.04),Euro,51.09
Average weekly household expenditure,2023,5th quintile,Betting and lotteries (09.05),Euro,3.36
Average weekly household expenditure,2023,5th quintile,Reading materials (09.06),Euro,12.27
Average weekly household expenditure,2023,5th quintile,Education and training (09.07),Euro,27.89
Average weekly household expenditure,2023,5th quintile,Games and items for sports and open-air recreation (09.08),Euro,6.47
Average weekly household expenditure,2023,5th quintile,Holiday expenditure (09.09),Euro,105.52
Average weekly household expenditure,2023,5th quintile,Insurance/pension premiums (09.10),Euro,247.68
Average weekly household expenditure,2023,5th quintile,Medical/dental insurance (09.10.01),Euro,44.6
Average weekly household expenditure,2023,5th quintile,Other insurance premiums (09.10.02),Euro,27.13
Average weekly household expenditure,2023,5th quintile,Pension contributions (09.10.03),Euro,175.95
Average weekly household expenditure,2023,5th quintile,Pet costs (09.11),Euro,13.48
Average weekly household expenditure,2023,5th quintile,Legal/Professional/Banking fees (09.12),Euro,15.95
Average weekly household expenditure,2023,5th quintile,"Plants, flowers, seeds, fertilisers and insecticides (09.13)",Euro,7.61
Average weekly household expenditure,2023,5th quintile,Hairdressing and personal grooming (09.14),Euro,14.68
Average weekly household expenditure,2023,5th quintile,Personal goods (09.15),Euro,12.04
Average weekly household expenditure,2023,5th quintile,Baby equipment (09.16),Euro,0.3
Average weekly household expenditure,2023,5th quintile,Childcare (09.17),Euro,12.08
Average weekly household expenditure,2023,5th quintile,"Other care, domestic and household services (09.18)",Euro,16.42
Average weekly household expenditure,2023,5th quintile,Charitable donations and subscriptions (09.19),Euro,4.59
Average weekly household expenditure,2023,5th quintile,Other money given to other persons (09.20),Euro,31.6
Average weekly household expenditure,2023,5th quintile,Other Miscellaneous (09.21),Euro,8.36
Average weekly household expenditure,2023,All quintiles,Total average weekly household expenditure (00.00.00.00),Euro,1007.47
Average weekly household expenditure,2023,All quintiles,Total food (01),Euro,160.93
Average weekly household expenditure,2023,All quintiles,Total food consumed at home (01.01),Euro,130.25
Average weekly household expenditure,2023,All quintiles,Bread (including retail sandwiches) (01.01.01),Euro,6.65
Average weekly household expenditure,2023,All quintiles,Flour (01.01.02),Euro,0.25
Average weekly household expenditure,2023,All quintiles,Pastries and biscuits (01.01.03),Euro,8.95
Average weekly household expenditure,2023,All quintiles,Breakfast cereals (01.01.04),Euro,1.88
Average weekly household expenditure,2023,All quintiles,"Milk, cream yoghurts and cheese (01.01.05)",Euro,11.72
Average weekly household expenditure,2023,All quintiles,"Butter, fats and cooking oil (01.01.06)",Euro,2.78
Average weekly household expenditure,2023,All quintiles,Eggs (01.01.07),Euro,1.83
Average weekly household expenditure,2023,All quintiles,"Pasta, pizza, quiche and grains (01.01.08)",Euro,3.05
Average weekly household expenditure,2023,All quintiles,Total meat (01.01.09),Euro,25.8
Average weekly household expenditure,2023,All quintiles,Uncooked meat (01.01.09.01),Euro,17.15
Average weekly household expenditure,2023,All quintiles,Cooked meat and convenience meat products (01.01.09.02),Euro,8.64
Average weekly household expenditure,2023,All quintiles,Fish and fish products (01.01.10),Euro,3.41
Average weekly household expenditure,2023,All quintiles,Fruit and nuts (01.01.11),Euro,8.94
Average weekly household expenditure,2023,All quintiles,Fresh fruit (01.01.11.01),Euro,7.35
Average weekly household expenditure,2023,All quintiles,Other fruit and nuts (01.01.11.02),Euro,1.59
Average weekly household expenditure,2023,All quintiles,Vegetables (01.01.12),Euro,11.88
Average weekly household expenditure,2023,All quintiles,Fresh vegetables (01.01.12.01),Euro,7.83
Average weekly household expenditure,2023,All quintiles,Other vegetables and vegetable products (01.01.12.02),Euro,4.05
Average weekly household expenditure,2023,All quintiles,"Sugars, confectionary and snacks (01.01.13)",Euro,13.22
Average weekly household expenditure,2023,All quintiles,Other food items (01.01.14),Euro,8.27
Average weekly household expenditure,2023,All quintiles,Non-alcoholic beverages (01.01.15),Euro,10.63
Average weekly household expenditure,2023,All quintiles,"Tea, coffee and cocoa (01.01.15.01)",Euro,2.63
Average weekly household expenditure,2023,All quintiles,Water - still/sparkling/flavoured (01.01.15.02),Euro,1.75
Average weekly household expenditure,2023,All quintiles,"Soft drinks, including juices (01.01.15.03)",Euro,6.25
Average weekly household expenditure,2023,All quintiles,Takeaway food brought/delivered to home (01.01.16),Euro,11
Average weekly household expenditure,2023,All quintiles,Meals away from home (including takeout tea/coffee) (01.02),Euro,30.68
Average weekly household expenditure,2023,All quintiles,Total alcohol and tobacco (02),Euro,28.38
Average weekly household expenditure,2023,All quintiles,Alcohol (02.01),Euro,21.33
Average weekly household expenditure,2023,All quintiles,Tobacco (02.02),Euro,7.05
Average weekly household expenditure,2023,All quintiles,Total clothing and footwear (03),Euro,39.54
Average weekly household expenditure,2023,All quintiles,Total fuel and light (04),Euro,63.11
Average weekly household expenditure,2023,All quintiles,Electricity (04.01),Euro,33.72
Average weekly household expenditure,2023,All quintiles,Gas (04.02),Euro,11.97
Average weekly household expenditure,2023,All quintiles,Liquid Fuels (e.g. heating oil) (04.03),Euro,10.43
Average weekly household expenditure,2023,All quintiles,Solid Fuels (04.04),Euro,6.99
Average weekly household expenditure,2023,All quintiles,Total housing (05),Euro,184.56
Average weekly household expenditure,2023,All quintiles,Rent paid for primary dwelling (05.01),Euro,52.55
Average weekly household expenditure,2023,All quintiles,Mortgage payment (primary dwelling) (05.02),Euro,62.37
Average weekly household expenditure,2023,All quintiles,Primary dwelling insurance (05.03),Euro,6.03
Average weekly household expenditure,2023,All quintiles,Local property tax (05.04),Euro,4.58
Average weekly household expenditure,2023,All quintiles,Refuse/sewage collection and skip hire (05.05),Euro,4.88
Average weekly household expenditure,2023,All quintiles,"Services for maintenance and repair of the dwelling (e.g. electrician, painter) (05.06)",Euro,8.85
Average weekly household expenditure,2023,All quintiles,Capital improvements (05.07),Euro,32.48
Average weekly household expenditure,2023,All quintiles,Other housing costs (05.08),Euro,12.82
Average weekly household expenditure,2023,All quintiles,Total household non-durable goods (06),Euro,20.56
Average weekly household expenditure,2023,All quintiles,Household cleaning products and non-durable small household articles (06.01),Euro,6.86
Average weekly household expenditure,2023,All quintiles,Toiletries and related produtcs (06.02),Euro,6.37
Average weekly household expenditure,2023,All quintiles,Hair and cosmetic products (06.03),Euro,7.33
Average weekly household expenditure,2023,All quintiles,Total household durable goods (07),Euro,34.98
Average weekly household expenditure,2023,All quintiles,"Household furniture, including repairs (07.01)",Euro,9.66
Average weekly household expenditure,2023,All quintiles,Household textiles (07.02),Euro,2.27
Average weekly household expenditure,2023,All quintiles,"Major household appliances (e.g. fridges, washing machine, cookers) (07.03)",Euro,3.56
Average weekly household expenditure,2023,All quintiles,Other household appliances (07.04),Euro,1.31
Average weekly household expenditure,2023,All quintiles,"Delph, cutlery and kitchen utensils (07.05)",Euro,3.14
Average weekly household expenditure,2023,All quintiles,Garden furniture and accessories (07.06),Euro,2.02
Average weekly household expenditure,2023,All quintiles,"Computers (including laptops, tablets, game consoles) and accessories (07.07)",Euro,3.71
Average weekly household expenditure,2023,All quintiles,Televisions and other media players (07.08),Euro,1.13
Average weekly household expenditure,2023,All quintiles,Fancy and decorative goods (e.g. mirrors) (07.09),Euro,3.58
Average weekly household expenditure,2023,All quintiles,Other household durable items (07.10),Euro,4.6
Average weekly household expenditure,2023,All quintiles,Total transport (08),Euro,142.39
Average weekly household expenditure,2023,All quintiles,Vehicles (net of trade in) (08.01),Euro,43.08
Average weekly household expenditure,2023,All quintiles,Motor Fuel (08.02),Euro,39.9
Average weekly household expenditure,2023,All quintiles,"Insurance, tax and fines (08.03)",Euro,28.97
Average weekly household expenditure,2023,All quintiles,Vehicle maintenance and other costs (08.04),Euro,12.1
Average weekly household expenditure,2023,All quintiles,"Bus, Luas, rail and taxi (08.05)",Euro,4.77
Average weekly household expenditure,2023,All quintiles,Other transport expenditure (08.06),Euro,13.57
Average weekly household expenditure,2023,All quintiles,"Total miscellaneous goods, services and other expenditure (09)",Euro,333.02
Average weekly household expenditure,2023,All quintiles,Medical expenses/services and therapeutic equipment (09.01),Euro,27.48
Average weekly household expenditure,2023,All quintiles,"Telephone, mobile and car phone (09.02)",Euro,16.87
Average weekly household expenditure,2023,All quintiles,"Internet, telephone and television subscriptions (09.03)",Euro,23.29
Average weekly household expenditure,2023,All quintiles,Internet subscription fees (not bundled) (09.03.01),Euro,3.87
Average weekly household expenditure,2023,All quintiles,TV licences (09.03.02),Euro,1.99
Average weekly household expenditure,2023,All quintiles,Satellite and cable TV subscription (09.03.03),Euro,2.86
Average weekly household expenditure,2023,All quintiles,Bundled subscription fees (09.03.04),Euro,10.74
Average weekly household expenditure,2023,All quintiles,"Downloads, streaming, apps and other internet services n.e.c (09.03.05)",Euro,3.84
Average weekly household expenditure,2023,All quintiles,Admission and subscription charges - sports and leisure (09.04),Euro,23.95
Average weekly household expenditure,2023,All quintiles,Betting and lotteries (09.05),Euro,2.73
Average weekly household expenditure,2023,All quintiles,Reading materials (09.06),Euro,7.43
Average weekly household expenditure,2023,All quintiles,Education and training (09.07),Euro,13.5
Average weekly household expenditure,2023,All quintiles,Games and items for sports and open-air recreation (09.08),Euro,3.51
Average weekly household expenditure,2023,All quintiles,Holiday expenditure (09.09),Euro,52.49
Average weekly household expenditure,2023,All quintiles,Insurance/pension premiums (09.10),Euro,92.65
Average weekly household expenditure,2023,All quintiles,Medical/dental insurance (09.10.01),Euro,26.75
Average weekly household expenditure,2023,All quintiles,Other insurance premiums (09.10.02),Euro,11.76
Average weekly household expenditure,2023,All quintiles,Pension contributions (09.10.03),Euro,54.14
Average weekly household expenditure,2023,All quintiles,Pet costs (09.11),Euro,8.79
Average weekly household expenditure,2023,All quintiles,Legal/Professional/Banking fees (09.12),Euro,7.46
Average weekly household expenditure,2023,All quintiles,"Plants, flowers, seeds, fertilisers and insecticides (09.13)",Euro,3.94
Average weekly household expenditure,2023,All quintiles,Hairdressing and personal grooming (09.14),Euro,7.94
Average weekly household expenditure,2023,All quintiles,Personal goods (09.15),Euro,5.36
Average weekly household expenditure,2023,All quintiles,Baby equipment (09.16),Euro,0.26
Average weekly household expenditure,2023,All quintiles,Childcare (09.17),Euro,6.38
Average weekly household expenditure,2023,All quintiles,"Other care, domestic and household services (09.18)",Euro,5.69
Average weekly household expenditure,2023,All quintiles,Charitable donations and subscriptions (09.19),Euro,2.5
Average weekly household expenditure,2023,All quintiles,Other money given to other persons (09.20),Euro,16.15
Average weekly household expenditure,2023,All quintiles,Other Miscellaneous (09.21),Euro,4.64
